Project,Applicant Type,OSS Directory,Link,Githubs,Tags
Thumbs Up,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4d85e4F760fb58E380f02657AE5Aafb8bd010601.json,,"END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Organix,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x7d3335fE8189F655F466603327d00D6ABBF6C441.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Tausif Ansari,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x74Ef9A0BE1CD0939aDa5694817349843A37A40AF.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
shisean,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x44207d32b2b7af723d6035c069bC49DBEec589FF.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
sporapok,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x43075f64faF7D910bD4fc644c12F2fffBBb8c536.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Timur,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x9ef9c73d7D8239b93Fe48b35A6974292C2Ff1E1c.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Vitalik,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x9BB0301B970B182A273Ecb380027E4BE0Efd5553.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Thuc,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xBBbae402FD1942f61F52eD238C2628e09e108ee0.json,,END_USER_EXPERIENCE_AND_ADOPTION
r72.fi,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x25030765Ba9c22D96094B7E67793A189259Ce38D.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Adi Permana,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd98656735E2BA24aA705b41d026eA64069231E20.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Chardkac,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xaDbc604e3d03e9a1Cc42Bc6Bd6055cAB15304dA2.json,,"END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
sexynime,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xc65394747cCCFc5e5DED39da191Bc1C3f9FDB3a2.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Antoine,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8Bac937c3727B89F273dAbE81898227A0e3Afe6F.json,,COLLECTIVE_GOVERNANCE
Kosmo,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x170D992F289b750F8e064793FdCF5E1d250Aa551.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Yasin Aktimur,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8bD9cd843CD604c4b4484312DeD00985219f6F7C.json,,END_USER_EXPERIENCE_AND_ADOPTION
Kristoph Galland,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb3397A6FeEdff2b9fCe9Ca1086CB1Bdd617c16Bf.json,,END_USER_EXPERIENCE_AND_ADOPTION
Dicky Galuh Kurniawan,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe359A6feBe48E326efA7dBe7a36b31207F9bdA81.json,,END_USER_EXPERIENCE_AND_ADOPTION
Kaito/CoffeeTimes,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x7853Eabb6cFa980eBfD27e3F77e69590EA53c0b7.json,,END_USER_EXPERIENCE_AND_ADOPTION
Leo Pascoli,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xB279B279fc88d53390eC63B8c9c29c642d568491.json,,END_USER_EXPERIENCE_AND_ADOPTION
Adriano,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xf9AF17d897707aafE856b76a582cC1a25933F87F.json,,END_USER_EXPERIENCE_AND_ADOPTION
Cryptoproturk,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd2d96a74DB5f320708C0eA6280884878779AA75a.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Tuan Tran,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xc8Cf6B03C2Aa80de2579dF02aA3beD1e716E1680.json,,END_USER_EXPERIENCE_AND_ADOPTION
leslchas,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x50593C113fb168117a30823034E660A830FAefB4.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
light,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x34925b991dce4e9A94490C8882a37c3Dc3C6C631.json,,END_USER_EXPERIENCE_AND_ADOPTION
Archer,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2Ea5E9E452F85f55Be47504153f25740A5f3D78A.json,,COLLECTIVE_GOVERNANCE
Gadgeteer (nanobro),INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x22e2f326FE5A1d07E1214EB1C08346Fd816E8375.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Abdullah All Ranim,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x343d232420201Fe901E11feF638d74Cd5b148913.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
kolade,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xE48a68D70bbAfae32905c9023F1Ce13364d95681.json,,"END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Subli,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x018C8a81cb02cA1a327BaefD400f75f57ea57ba2.json,,END_USER_EXPERIENCE_AND_ADOPTION
Ethan666.eth,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6a7415B36133C6C3957e4772B8009068e170C648.json,,END_USER_EXPERIENCE_AND_ADOPTION
Wizberry,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb4df3154b7Aa88ece7C91679DfdD35C6491719D6.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
zkcyborg,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD3802dcE7F7A54d59E7a64329d287624FF3F495a.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
CryptoPanda,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xC3193E39F77c2Ed59045CfFfCDCACdDa72f29987.json,,COLLECTIVE_GOVERNANCE
Mrfti,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3722a8b1E2674FbBA7081C84E39A5cE738B8159D.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
SuperRisingSr,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x736574a681f6707dfC00C81C27c501b64c8126DA.json,,END_USER_EXPERIENCE_AND_ADOPTION
Crypto_0008,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x686878c03282b225d7331bf3Deafdf27Cd6a38F6.json,,END_USER_EXPERIENCE_AND_ADOPTION
sanzjago,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xdd3b797443287753014B128dee509fBd064d9A45.json,,END_USER_EXPERIENCE_AND_ADOPTION
selina,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x43f9c4C6592853fC6e87e4280f84ace6a344d8e7.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Mr.ran,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1274c6Be78F56BAbde0E546f3bb09e87eb4A0e9a.json,,"COLLECTIVE_GOVERNANCE, OP_STACK"
Quammy,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x39b2e6047effa044848B03246AC9c6D2bC7b0deE.json,,OP_STACK
Brian Kim,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xa35156ca4294c13fe256B10091F3D6595E3Bf7d7.json,,END_USER_EXPERIENCE_AND_ADOPTION
Alex,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5785523D831e155E38e5b94512E62E594e30D97a.json,,END_USER_EXPERIENCE_AND_ADOPTION
Niklaus,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1F452Ea54d4d934AfAdc300C61ca0A3B1bbDE958.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Kishan patel,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x75232B3a9A500748356fB605297862Bb9cbdd53d.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Ephraim,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6FC27bd5101eB608E75fa3Aa304577E1D5aedA91.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
NOTYOURGALLERY,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xea2D97CE7c18Cf20613ed8eeE4d0f1A8b4493368.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
alavudeen,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x057f5122a1Ad2B9280ABF92528958ABCA0a7D849.json,,COLLECTIVE_GOVERNANCE
soni866,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x19E6389E1D17D6eDBFfbd89c6DA0742D04B3256B.json,,OP_STACK
Gideon,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xE8849eDCE331e1cC29d8905294D8567f06EDE0fe.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Manojboi,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6deBF7Bc0EEdd7c51A9334d7f1E01c84678e3Ae7.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Obito,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xa02d34e0f2235661F4b46b8A7BEDB42c4cce104b.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
iamgalba,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x05B938467c7009733719c48410D6Fd939A320271.json,,END_USER_EXPERIENCE_AND_ADOPTION
Andrew Hong (ilemi),INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2Ae8c972fB2E6c00ddED8986E2dc672ED190DA06.json,,DEVELOPER_ECOSYSTEM
Malik,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xDffb0C8579DB5A49255D92bA53fA27b6afAEcC84.json,,END_USER_EXPERIENCE_AND_ADOPTION
Queenny,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8160684b00f59B8d2049C23c71bF42d6ea533c3c.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Reno,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xaB5309888C39646bb222a70E0Bc1C69e3326Ee77.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
FireBoy,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4CE268F49EF0726d602a8b0f22FcC543aa23bb51.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Zakaria yahiaoui,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xFaaBdFEcC4CEB7c069357558d503465177DBB8A1.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
https://twitter.com/insiderr22,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x730CA23bcd88802Da1E19766DB0A98E005D8Fda1.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Lexim,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb8C39D4DaBb7ED12b3b12847A958614EA78353CD.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
ilyessghz,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xB135D40581404474Beca15Ba408E2E67A178b4cd.json,,COLLECTIVE_GOVERNANCE
Natalie,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5f0C93B26413084099ac7fEf84E1B2D101104172.json,,END_USER_EXPERIENCE_AND_ADOPTION
Comzvy,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4e846E2aB6A8e2565EA073A5ee9839FcbFd927D1.json,,END_USER_EXPERIENCE_AND_ADOPTION
Soyduende,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5ab75f5e8b00E54671EaB7F1A4F483FB52FC2D4E.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Hisoka,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6FC7e76309CfAD199FeffF7177f8b5E5b869B98B.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Webacy,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xEc10Ac0784B5DE2Fad69332e5a90B46eebba70aF.json,,END_USER_EXPERIENCE_AND_ADOPTION
Asian crypto,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD00Dbbe03D11144177C609682b66073f62da9f89.json,,"COLLECTIVE_GOVERNANCE, OP_STACK"
Kyle Rojas,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x9e8B73b5563c9aF1C35e5Aad588B67B6A414576b.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
taromusu,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8F2c951926C62fE0E5382c3d5f79aFc81C559829.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Inbest Program,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0263E43c0dE253a0fe354b60d35D2855c514a887.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
krajekis,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xF82EF19932F5297655EF69774dE2a2AbadefDe9d.json,,END_USER_EXPERIENCE_AND_ADOPTION
Benjels,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xdF5D63B80D939Dedeb9C84B45B1D14A17c97802D.json,,END_USER_EXPERIENCE_AND_ADOPTION
Resad,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xB2c851ED3f04851C9DBeC4ADC1465C1352a153c4.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Andino - Talent in technology,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x363cDaA139E1Fc64d308aa2129852745676bA680.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Fugu Works,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd3cedfC7b4cd9b5aa63AAFcD0287C85fBFc188aB.json,,END_USER_EXPERIENCE_AND_ADOPTION
Patrick Workman,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5dC70A9b884f78Ee030a8c6ad3b3b7dc10Bbe7f4.json,,END_USER_EXPERIENCE_AND_ADOPTION
Cryptoast,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x543Dea2479Bb8527C71bf4E52802B017212589e6.json,,END_USER_EXPERIENCE_AND_ADOPTION
Vegeta🎧🎥🏁,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x7A6896532E19d6417587da889B1b9F994c754d97.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Copin.io,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1A561e43f264952D7b4F25Fb4967122c87618Beb.json,,END_USER_EXPERIENCE_AND_ADOPTION
Andrii,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xEB496550A39D37D00DE91EFeBeCCeCba0FeC43Ec.json,,END_USER_EXPERIENCE_AND_ADOPTION
Synth,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x84D36eA4044161232803c216BF1D103469713943.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
GRAY,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3207446dD7fDefa5Dd9F66e89F0F49070afc5731.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
XOXO,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1eF889562C00Fc984Cf9A5903C98fa11761142E9.json,,END_USER_EXPERIENCE_AND_ADOPTION
THIS IS A TEST - PLS DELETE,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3977492b0d15488A57aD4c5bd2ECDe7e2572d7FE.json,,"COLLECTIVE_GOVERNANCE, OP_STACK"
Kaushik8627,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xF7942c3F2847958B2F4f1cA561D45a3546E6C957.json,,OP_STACK
very cool,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3977492b0d15488A57aD4c5bd2ECDe7e2572d7FE.json,,"COLLECTIVE_GOVERNANCE, OP_STACK"
Hisoka,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6FC7e76309CfAD199FeffF7177f8b5E5b869B98B.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Digital Estates,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xBb13C0560C8A8354E6A914f1f2b873CEfE0dF9F7.json,,END_USER_EXPERIENCE_AND_ADOPTION
respati,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2145ac607A1b97D28BE117D06474B003deC986b4.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
mcdao,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd35C826BF2bEd9a6a448A184026199B500D60514.json,,END_USER_EXPERIENCE_AND_ADOPTION
Alpha Insiders,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3D1846ea60001A3Bc21438d76f3958422fe89adB.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
ReFi Medellín,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x302E2A0D4291ac14Aa1160504cA45A0A1F2E7a5c.json,,END_USER_EXPERIENCE_AND_ADOPTION
CHING HAO CHEN,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x604B516Cd0Fee16f1E6552275eA3C7AA00C9a174.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Cryptodevs,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x133722ed7899f578Ba7aBAE2259898b18a3252c7.json,,DEVELOPER_ECOSYSTEM
nht23,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe6C96653847653102471Cd84135dEc131B2622f3.json,,OP_STACK
Defigourmet,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe08d3d0334aB089DAaF0C620989959Ba5d4aA04C.json,,END_USER_EXPERIENCE_AND_ADOPTION
mik0007,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x616b8248a78Ba31c04f769242060d0D16913c04D.json,,OP_STACK
Vtcking,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1014d57aDa2F05b967578Beb253e28Fa31172C39.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Lemon,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6fd96a881b72CAD783B0741309B57Cb7d0Bde18a.json,,END_USER_EXPERIENCE_AND_ADOPTION
Token Engineering Commons,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xfc1436EAb5943F90A4cae9fd1aD6ba66408cDe9B.json,,"DEVELOPER_ECOSYSTEM, OP_STACK"
The Open X Project,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb4a16728A270c0A9d57521926FBfb52dA28fb28D.json,,END_USER_EXPERIENCE_AND_ADOPTION
vmhmmo2020,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0755A2c4C1808Ca14CC2928d0D727b16a1C467Bd.json,,END_USER_EXPERIENCE_AND_ADOPTION
bury,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x457A223A59de9F7311c5d9af84bF81eF55C87735.json,,OP_STACK
Pawan Kumar,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xF48D9d349106cf2A0880CE45ec1512EcAa4e10AF.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
singhpw,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0281d04EaAd146FB4101E5B38ee06e0ad829AE25.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Psychotic Robots by Midjourney (AI),PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xceA9F9e08954c2696058c327feDae2ac0Ec0DDae.json,,COLLECTIVE_GOVERNANCE
White Rabbit,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xB0abAEfc47e5b244638BFE474Fb15FC33e6A1d6A.json,,COLLECTIVE_GOVERNANCE
mehran @ castle,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x071D9fe61cE306AEF04b7889780f889f444D7BF7.json,,END_USER_EXPERIENCE_AND_ADOPTION
DackieSwap,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe1581C10EE235F0DEbb655EA365100bCBD84BAD2.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Mirror,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe60aC07Be8bD7f7f33d446e1399c329928Ba8114.json,,END_USER_EXPERIENCE_AND_ADOPTION
Squirtle0x,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4644A9Afe25B01405B9099c32FBf123F919d4838.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Encriptados,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3a94e60a1a9d7A53765Ceb7dc73880BDB48eE4d0.json,,END_USER_EXPERIENCE_AND_ADOPTION
pinter88,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x07507Fcdeac79150A8C7981da8931cdDf549b5ca.json,,END_USER_EXPERIENCE_AND_ADOPTION
SparkBapq,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x57b6c42113ac1F17108debbD59734C7Bae6a4F43.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Layer2News,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xdef45E63561DdED007fB7a406F3E5490CBB48eA6.json,,END_USER_EXPERIENCE_AND_ADOPTION
must479,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2D815240A61731c75Fa01b2793E1D3eD09F289d0.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
eesee.io,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4F4a595bdc00ACF85eFb90b1f2171d475F1a63B7.json,,END_USER_EXPERIENCE_AND_ADOPTION
reza,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x52a267Ad797be3ea4eB0B11DbF5fe535B761DA6E.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
egosys-records,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x39485bE2B0b994B7F7696984187c130041deD1B5.json,,"END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Shwandangle,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xf9C11707D1f5Fe2B7F4c82b2772543f2c4ef165A.json,,END_USER_EXPERIENCE_AND_ADOPTION
Billy.ETH,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x978A2E2D98ca029Ab0f7268Cb069528333D748C1.json,,COLLECTIVE_GOVERNANCE
RPGF Test,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x184b65d77975675b20846a25ddd9e31F9EF77891.json,,OP_STACK
Proofivy,PROJECT,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x38189D98110A395A1366F1c95875f81fD458a6C3.json,,END_USER_EXPERIENCE_AND_ADOPTION
